Index,Korean,English,Japanese
0,"[Fool]</n></n>파괴될 경우 게임 오버 됩니다.","[Fool]</n></n>If destroyed,</n>it's game over.","[Fool]</n></n>破壊された場合,</n>ゲームオーバーになります."
1,"[Magician]</n></n>필드에 놓인 후</n>숫자가 0이 됩니다.","[Magician]</n></n>The number becomes 0</n>after being placed in the field.","[Magician]</n></n>フィールドに置かれた後</n>数字が0になります."
2,"[Priestess]</n></n>필드에 놓인 후</n>아래 사용 구역에 보석</n>[ 1 ]을 놓습니다.","[Priestess]</n></n>Place gem [ 1 ]</n>in the use zone below</n>after being placed in the field.","[Priestess]</n></n>フィールドに置かれた後</n>下の使用ゾーンに宝石[ 1 ]を置きます."
3,"[Empress]</n></n>필드에 놓인 후</n>아래 사용 구역에 보석</n>[ 6 ]을놓습니다.","[Empress]</n></n>Place gem [ 6 ]</n>in the use zone below</n>after being placed in the field.","[Empress]</n></n>フィールドに置かれた後</n>下の使用ゾーンに宝石[ 6 ]を置きます."
4,"[Priestess]</n></n>필드에 놓인 후</n>아래 사용 구역에 보석</n>[ 11 ]을 놓습니다.","[Priestess]</n></n>Place gem [ 11 ]</n>in the use zone below</n>after being placed in the field.","[Priestess]</n></n>フィールドに置かれた後</n>下の使用ゾーンに宝石[ 11 ]を置きます."
5,"[Hierophant]</n></n>필드에서 가장 왼쪽으로 간 경우</n>게임오버 됩니다.","[Hierophant]</n></n>If you went leftmost in the field,</n>it's game over.","[Hierophant]</n></n>フィールドの左端に行った場合</n>ゲームオーバーになります."
6,"[Lovers]</n></n>필드에 놓인 후</n>핸드에 보석이 있다면</n>게임오버 됩니다.","[Lovers]</n></n>If you have a gem in the hand</n>after being placed in the field,</n>it is game over.","[Lovers]</n></n>フィールドに置かれた後</n>手札に宝石があれば</n>ゲームオーバーになります."
7,"[Chariot]</n></n>필드에 놓인 후</n>왼쪽 보석을 파괴합니다.","[Chariot]</n></n>Destroy the left gem</n>after being placed in the field.","[Chariot]</n></n>フィールドに置かれた後</n>左の宝石を破壊します."
8,"[Strength]</n></n>필드에 놓인 후</n>숫자가 10이 됩니다.","[Strength]</n></n>The number becomes 10</n>after being placed in the field.","[Strength]</n></n>フィールドに置かれた後</n>数字が10になります."
9,"[Hermit]</n></n>보석을 하나 더 놓습니다.","[Hermit]</n></n>Place one more gem.","[Hermit]</n></n>宝石をもう一つ置きます."
10,"[Fortune]</n></n>필드에 놓인 후</n>50% 확률로</n>[Wheel of Fortune]</n>타로 카드를 얻습니다.","[Fortune]</n></n>50% chance to gain</n>[Wheel of Fortune] Tarot card,</n>after being placed in the field.","[Fortune]</n></n>フィールドに置かれた後</n>50%の確率で</n>[Wheel of Fortune]</n>タロットカードを入手します."
11,"[Just]</n></n>타로 보석입니다.","[Just]</n></n>It's a tarot gem","[Just]</n></n>タロット宝石です."
12,"[Hanged]</n></n>필드에 놓인 후</n>가장 왼쪽으로 옮겨집니다.","[Hanged]</n></n>it is moved to the leftmost</n>after being placed in the field.","[Hanged]</n></n>フィールドに置かれた後</n>左端に移動します."
13,"[Death]</n></n>필드에 놓인 후</n>핸드에 보석이 없다면</n>게임오버 됩니다.","[Death]</n></n>If you don't have a gem in the hand","[Death]</n></n>フィールドに置かれた後</n>手札に宝石がなければ</n>ゲームオーバーとなります."
14,"[Temp]</n></n>필드에 놓인 후</n>숫자가 놓인 순번이 됩니다.","[Temp]</n></n>The number becomes placed order,</n>after being placed in the field.","[Temp]</n></n>フィールドに置かれた後</n>数字が置かれた順番になります."
15,"[Devil]</n></n>필드에 놓이지 못하면</n>게임오버 됩니다.","[Devil]</n></n>If it can't be placed in the field</n>it's game over.","[Devil]</n></n>フィールドに置けない場合,</n>ゲームオーバーとなります."
16,"[Tower]</n></n>필드에 놓인 후</n>아래 사용 구역의 가장 오른쪽에 놓여 있는 보석을 파괴합니다.","[Tower]</n></n>Destroy the rightmost gem of the use zone below</n>after being placed in the field.","[Tower]</n></n>フィールドに置かれた後</n>下の使用ゾーンの右端に置かれている宝石を破壊します."
17,"[Star]</n></n>필드에 놓인 후</n>[The Star] 타로 카드를 얻습니다.","[Star]</n></n>Gain [The Star] Tarot card,</n>after being placed in the field.","[Star]</n></n>フィールドに置かれた後</n>[The Star]タロットカードを入手します."
18,"[Moon]</n></n>필드에 놓인 후</n>[The Moon] 타로 카드를 얻습니다.","[Moon]</n></n>Gain [The Moon] Tarot card,</n>after being placed in the field.","[Moon]</n></n>フィールドに置かれた後</n>[The Moon]タロットカードを入手します."
19,"[Sun]</n></n>필드에 놓인 후</n>[The Sun] 타로 카드를 얻습니다.","[Sun]</n></n>Gain [The Sun] Tarot card,</n>after being placed in the field.","[Sun]</n></n>フィールドに置かれた後</n>[The Sun]タロットカードを入手します."
20,"[Judge]</n></n>파괴될 경우</n>[Judgement] 타로 카드를 얻습니다.","[Judge]</n></n>If destroyed,</n>Gain [Judgement] Tarot card","[Judge]</n></n>破壊された場合,</n>[Judgement]タロットカードを入手します."
21,"[World]</n></n>나의 다음 턴을 스킵합니다.","[World]</n></n>Skip my next turn.","[World]</n></n>自分の次のターンをスキップします."
