Index,Korean,English,Japanese
0,"[The Fool]</n></n>선택한 종류의 놓아져 있는 보석을 모두 파괴합니다.","[The Fool]</n></n>Destroys all placed gems of the selected type.","[The Fool]</n></n>選択した種類の置かれている宝石をすべて破壊します."
1,"[The Magician]</n></n>내 핸드의 모든 보석을 선택한 종류의 보석이 아닌 무작위 보석으로 변환합니다.</n>(숫자는 바뀌지 않습니다.)","[The Magician]</n></n>Converts all gems in my hand to random gems instead of the selected type of gem.</n>(The number doesn't change.)","[The Magician]</n></n>手札のすべての宝石を選択した種類の宝石ではなく,ランダムな宝石に変換します.</n>(数字は変わりません.)"
2,"[The High Priestess]</n></n>{루비에 사용 가능}</n>조건을 무시하고 해당 종류의 숫자 11을 놓습니다.","[The High Priestess]</n></n>{available for Ruby}</n>Ignore the condition and place the number 11 of that kind.","[The High Priestess]</n></n>{ルビーに使用可能}</n>条件を無視して,その種類の数字11を置きます."
3,"[The Empress]</n></n>{사파이어에 사용 가능}</n>조건을 무시하고 해당 종류의 숫자 11을 놓습니다.","[The Empress]</n></n>{available for Sapphire}</n>Ignore the condition and place the number 11 of that kind.","[The Empress]</n></n>{サファイアに使用可能}</n>条件を無視して,その種類の数字11を置きます."
4,"[The Emperor]</n></n>{아쿠아마린에 사용 가능}</n>조건을 무시하고 해당 종류의 숫자 11을 놓습니다.","[The Emperor]</n></n>{available for Aquamarine}</n>Ignore the condition and place the number 11 of that kind.","[The Emperor]</n></n>{アクアマリンに使用可能}</n>条件を無視して,その種類の数字11を置きます."
5,"[The Hierophant]</n></n>{루비에 사용 가능}</n>해당 종류의 대응하는 Cpu의 보석 사용을 다음 1턴간 막습니다.","[The Hierophant]</n></n>{available for Ruby}</n>Prevent the corresponding CPU of that type from using Gems for the next 1 turn.","[The Hierophant]</n></n>{ルビーに使用可能}</n>その種類に対応するCpuの宝石の使用を次の1ターン間ブロックします."
6,"[The Lovers]</n></n>{사파이어에 사용 가능}</n>해당 종류의 대응하는 Cpu의 보석 사용을 다음 1턴간 막습니다.","[The Lovers]</n></n>{available for Sapphire}</n>Prevent the corresponding CPU of that type from using Gems for the next 1 turn.","[The Lovers]</n></n>{サファイアに使用可能}</n>その種類に対応するCpuの宝石の使用を次の1ターン間ブロックします."
7,"[The Chariot]</n></n>{아쿠아마린에 사용 가능}</n>해당 종류의 대응하는 Cpu의 보석 사용을 다음 1턴간 막습니다.","[The Chariot]</n></n>{available for Aquamarine}</n>Prevent the corresponding CPU of that type from using Gems for the next 1 turn.","[The Chariot]</n></n>{アクアマリンに使用可能}</n>その種類に対応するCpuの宝石の使用を次の1ターン間ブロックします."
8,"[Strength]</n></n>내 핸드의 모든 보석의 숫자를 1 높입니다.","[Strength]</n></n>Increase the number of all gems in your hand by 1.","[Strength]</n></n>自分の手札のすべての宝石の数字を1増やします."
9,"[The Hermit]</n></n>제일 왼쪽에 있는 내 타로 카드를 1장 복사해 가져옵니다.","[The Hermit]</n></n>Copy and import 1 My Tarot card, the one on the far left.","[The Hermit]</n></n>一番左にある自分のタロットカードを1枚コピーして持ってきます."
10,"[Wheel of Fortune]</n></n>조건을 무시하고 해당 종류의 보석을 놓습니다.</n>이 때 보석의 숫자가 0 ~ 10 중 랜덤하게 정해집니다.","[Wheel of Fortune]</n></n>Ignore the condition and place the gem of that kind.</n>The gems are then randomly numbered from 0 to 10.","[Wheel of Fortune]</n></n>条件を無視して,その種類の宝石を置きます.</n>この時,宝石の数字は0~10の中からランダムに決まります."
11,"[Justice]</n></n>모든 Cpu의 선택한 종류의 대응하는 보석의 사용을 다음 1턴간 막습니다.","[Justice]</n></n>Prevents all Cpus from using the corresponding gem of the selected type for the next 1 turn.","[Justice]</n></n>すべてのCpuの選択した種類の対応する宝石の使用を次の1ターン間ブロックします."
12,"[The Hanged Man]</n></n>모든 종류의 제일 오른쪽 보석을 파괴합니다.","[The Hanged Man]</n></n>Destroys the rightmost gem of any kind.","[The Hanged Man]</n></n>すべての種類の一番右の宝石を破壊します."
13,"[Death]</n></n>선택한 종류의 대응하는 Cpu에게 선택한 종류의 보석을 추가합니다.</n>이 때 추가하는 보석의 숫자는 1입니다.","[Death]</n></n>Add the selected kind of gem to the corresponding Cpu of the selected kind.</n>The number of Gem added is 1.","[Death]</n></n>選択した種類の対応するCpuに選択した種類の宝石を追加します.</n>この時,追加する宝石の数字は1です."
14,"[Temperance]</n></n>자신의 턴을 스킵합니다.</n>타로 카드가 2장이 되도록 무작위 타로 카드를 가져옵니다.","[Temperance]</n></n>Skip your turn.</n>Gain a random tarot card so that you have 2 tarot cards.","[Temperance]</n></n>自分のターンをスキップします.</n>タロットカードが2枚になるようにランダムなタロットカードを持ってきます."
15,"[The Devil]</n></n>모든 Cpu의 맨 왼쪽 카드를 맨 오른쪽으로 옮깁니다.","[The Devil]</n></n>Move the left-most card of all Cpus to the right-most card.","[The Devil]</n></n>すべてのCpuの一番左のカードを一番右に移動します."
16,"[The Tower]</n></n>조건을 무시하고 선택한 종류의 보석 11을 놓습니다.</n>그 후 다른 종류의 놓아져 있는 보석을 모두 파괴합니다.","[The Tower]</n></n>Ignore the condition and place 11 gems of the selected type.</n>Then Destroys all placed gems of the other types","[The Tower]</n></n>条件を無視して,選択した種類の宝石11を置きます.</n>その後,他の種類の置かれている宝石をすべて破壊します."
17,"[The Star]</n></n>{루비에 사용 가능}</n>내 핸드의 모든 보석을 선택한 종류의 보석으로 변환합니다.","[The Star]</n></n>{available for Ruby}</n>Converts all gems in my hand to the selected type of gem.","[The Star]</n></n>{ルビーに使用可能}</n>手札のすべての宝石を選択した種類の宝石に変換します."
18,"[The Moon]</n></n>{사파이어에 사용 가능}</n>내 핸드의 모든 보석을 선택한 종류의 보석으로 변환합니다.","[The Moon]</n></n>{available for Sapphire}</n>Converts all gems in my hand to the selected type of gem.","[The Moon]</n></n>{サファイアに使用可能}</n>手札のすべての宝石を選択した種類の宝石に変換します."
19,"[The Sun]</n></n>{아쿠아마린에 사용 가능}</n>내 핸드의 모든 보석을 선택한 종류의 보석으로 변환합니다.","[The Sun]</n></n>{available for Aquamarine}</n>Converts all gems in my hand to the selected type of gem.","[The Sun]</n></n>{アクアマリンに使用可能}</n>手札のすべての宝石を選択した種類の宝石に変換します."
20,"[Judgement]</n></n>선택한 종류의 제일 오른쪽 보석을 파괴합니다.</n>75% 확률로 다음 턴 시작에 이 타로 카드를 다시 가져옵니다.","[Judgement]</n></n>Destroy the rightmost gem of the chosen type.</n>There is a 75% chance to get this tarot card back at the start of your next turn.","[Judgement]</n></n>選択した種類の一番右の宝石を破壊します.</n>75%の確率で,次のターン開始時にこのタロットカードを持ってきます."
