Index,Korean,English,Japanese
0,"게임에 대한 간단 설명</n></n>[HandRemover] 라고 하는 제목 그대로,</n>핸드를 전부 사용하는 것이 목표인 게임입니다.</n></n></n>화면을 클릭해 넘어갑니다.","A short description of the game</n></n>[HandRemover] as the title suggests,</n>A game where the goal is to use all of your hand.</n></n></n>Click to move on.","ゲームの簡単な説明</n></n>[HandRemover]というタイトル通り,</n>手札を使い切ることが目標のゲームです.</n></n></n>画面をクリックして進みます."
1,"게임에 대한 설명</n></n>본 게임은 스테이지 형식의 퍼즐 게임입니다.</n>각 스테이지 마다 다른 조건이 주어지며,</n>해당 조건에서 어떻게든 핸드에 있는 보석을 다 사용하면 되는 게임입니다.</n></n></n>화면을 클릭해 넘어갑니다.","Description of the game</n></n>This game is a puzzle game in a stage format.</n>Each stage has different conditions,</n>It's a game where you have to somehow use up the gems in your hand under those conditions.</n></n></n>Click to move on.","ゲームの説明</n></n>本ゲームはステージ形式のパズルゲームです.</n>各ステージごとに違う条件が与えられ,</n>その条件下で,なんとかして手札の宝石を使い切ればいいだけのゲームです.</n></n></n>画面をクリックして進みます."
2,"플레이에 대한 설명 1</n></n>당신이 스테이지를 시작하면 뒤에 보이는 타로 카드 선택 화면으로 시작합니다.</n>그리고 그 화면에서 1 ~ 3개의 타로 카드를 선택해, 스테이지를 진행하실 수 있습니다.</n></n></n>화면을 클릭해 넘어갑니다.","Description of the play 1</n></n>When you start a stage, you begin with the tarot card selection screen you see behind you.</n>From that screen, you can select 1-3 tarot cards to progress through the stages.</n></n></n>Click to move on.","プレイの説明 1</n></n>あなたがステージを始めると,後ろに見えるタロットカード選択画面から始まります.</n>そして,その画面から1~3枚のタロットカードを選択し,ステージを進めることができます.</n></n></n>画面をクリックして進みます."
3,"플레이에 대한 설명 2</n></n>당신이 타로 카드를 선택하는 기준을 정하기 위해,</n>오른쪽 아래에 보이는 버튼을 클릭해 현재 필드 상황을 보실 수 있습니다.</n></n>이 다음으로 넘어가 [The Fool] 타로 카드를 선택해 주세요!</n></n></n>화면을 클릭해 넘어갑니다.","Description of the play 2</n></n>To establish the criteria by which you choose your Tarot cards,</n>you can click the button in the lower right corner to see the current field situation.</n></n>Please move on and select the Tarot card [The Fool]!</n></n></n>Click to move on.","プレイの説明 2</n></n>あなたがタロットカードを選択する基準を決めるために,</n>右下にあるボタンをクリックすると,現在のフィールド状況を見ることができます.</n></n>次に進み,[The Fool]タロットカードを選択してください!</n></n></n>画面をクリックして進みます."
4,,,
5,"플레이에 대한 설명 3</n></n>필드 화면에는 3가지 정보가 나타납니다.</n></n>1.(하단)당신이 가지고 있는 보석과 타로 카드.</n>2.(중단)현재 필드에 놓아져 있는 보석의 상황.</n>3.(상단)Cpu가 가지고 있는 보석의 상황.</n></n></n>화면을 클릭해 넘어갑니다.","Description of the play 3</n></n>The field screen displays three pieces of information.</n></n>1.(Bottom)The gems and tarot cards you have.</n>2.(Center)The situation of the gems currently on the field.</n>3.(Top)The situation of the gems held by the Cpu.</n></n></n>Click to move on.","プレイの説明 3</n></n>フィールド画面には3つの情報が表示されます.</n></n>1.(下)あなたが持っている宝石とタロットカード.</n>2.(中)現在フィールドに置かれている宝石の状況.</n>3.(上)CPUが持っている宝石の状況.</n></n></n>画面をクリックして進みます."
6,"플레이에 대한 설명 4</n></n>진행은 당신이 보석을 놓으면,</n>그 다음 Cpu 가 보석을 놓는 순서로 진행됩니다.</n></n></n>화면을 클릭해 넘어갑니다.","Description of the play 4</n></n>The progression is that you place the gem, then the Cpu places the gem, and so on.</n></n></n>Click to move on.","プレイの説明 4</n></n>進行は,あなたが宝石を置くと,</n>その後Cpuが宝石を置くという順番で進みます.</n></n></n>画面をクリックして進みます."
7,"플레이에 대한 설명 5</n></n>보석을 놓기 위해 다음 조건이 충족 되어야 합니다.</n></n>1.종류가 같아야 합니다.</n>(종류는 위에서 부터 루비, 사파이어, 아쿠아마린 입니다.)</n>2.해당 종류의 오른쪽 끝에 있는 보석의 숫자보다 높아야 합니다.</n></n></n>화면을 클릭해 넘어갑니다.","Description of the play 5</n></n>The following conditions must be met to place a gem.</n></n>1.must be of the same type</n>(The types are, from top to bottom, Ruby, Sapphire, and Aquamarine.)</n>2. It must be higher than the number of the gem at the right end of its kind.</n></n></n>Click to move on.","プレイの説明 5</n></n>宝石を置くためには,以下の条件が満たされている必要があります.</n></n>1.同じ種類である必要があります.</n>(種類は上からルビー,サファイア,アクアマリンです.)</n>2.その種類の右端にある宝石の数字より高い必要があります.</n></n></n>画面をクリックして進みます."
8,"플레이에 대한 설명 6</n></n>Cpu는 가장 왼쪽에 있는 보석을 놓으려고 시도 할 것입니다.</n>만약 불가능한 경우 그 다음 보석을 놓으려고 시도할 것입니다.</n></n>이 다음으로 넘어가 직접 핸드에 있는 루비 1 보석을 사용해 봅시다!</n></n></n>화면을 클릭해 넘어갑니다.","Description of the play 6</n></n>The CPU will attempt to place the leftmost gem.</n>If it can't, it will try to place the next gem.</n></n>Let's move on to the next step and use the Ruby 1 gem you have on hand!</n></n></n>Click to move on.","プレイの説明 6</n></n>Cpuは一番左の宝石を置こうとします.</n>もし不可能な場合は,次の宝石を置こうとします.</n></n>この次に進み,直接手札にあるルビー1宝石を使用してみましょう!</n></n></n>画面をクリックして進みます."
9,,,
