Index,Korean,English,Japanese
0,
1,"[석류석]</n></n>필드에 놓인 후</n>다른 모든 사용 구역에</n>이 보석을 복사하여 놓습니다.","[Garnet]</n></n>Placed this gem</n>in all other use zone</n>after being placed in the field.","[ガーネット]</n></n>フィールドに置かれた後</n>他のすべての使用ゾーンに</n>この宝石をコピーして置きます."
2,"[자수정]</n></n>필드에 놓인 후</n>왼쪽에 있는 모든</n>타로 보석에 능력을</n>[Just]로 변환합니다.","[Amethyst]</n></n>Convert the ability</n>to [Just]</n>for all Tarot gems</n>to the left of it</n>after being placed in the field.","[アメジスト]</n></n>フィールドに置かれた後</n>左側にあるすべての</n>タロット宝石の能力を</n>[Just]に変換します."
3,
4,"[다이아몬드]</n></n>파괴될 경우</n>핸드에 복사해 얻습니다.","[Diamond]</n></n>If destroyed,</n>copy it to the hand to gain it.","[ダイヤモンド]</n></n>破壊された場合,</n>手札にコピーして入手します."
5,"[에메랄드]</n></n>필드에 놓인 후</n>5% 확률로</n>파괴됩니다.","[Emerald]</n></n>5% chance</n>to be destroyed</n>after being placed in the field.","[エメラルド]</n></n>フィールドに置かれた後</n>5%の確率で</n>破壊されます."
6,"[알렉산드라이트]</n></n>필드에 놓인 후</n>다음 1 번</n>타로 보석의 효과를</n>무효화합니다.","[Alexandrite]</n></n>Nullifies the effect</n>of the next 1 Tarot gem.</n>after being placed in the field.","[アレキサンドライト]</n></n>フィールドに置かれた後</n>次の1回目の</n>タロット宝石の効果を</n>無効にします."
7,
8,"[페리도트]</n></n>필드에 놓인 후</n>[The Lovers]</n>타로 카드를 얻습니다.","[Peridot]</n></n>Gain [The Lovers] Tarot card,</n>after being placed in the field.","[ペリドット]</n></n>フィールドに置かれた後</n>[The Lovers]タロットカードを入手します."
9,
10,"[오팔]</n></n>필드에 놓인 후</n>가장 왼쪽에 있는 보석을</n>핸드에 복사해 얻습니다.","[Opal]</n></n>Gain a copy of the leftmost gem</n>in the hand</n>after being placed in the field.","[オパール]</n></n>フィールドに置かれた後</n>左端の宝石を</n>手札にコピーして入手します."
11,"[토파즈]</n></n>필드에 놓인 후</n>숫자가 1 낮아진 상태로</n>핸드에 복사해 얻습니다.","[Topaz]</n></n>Copy it to the hand to gain it</n>with the number decrease by 1</n>after being placed in the field.","[トパーズ]</n></n>フィールドに置かれた後</n>数字が1下がった状態で</n>手札にコピーして入手します."
12,"[터키석]</n></n>파괴되지 않습니다.","[Turquoise]</n></n>Can't be destroyed.","[ターコイズ]</n></n>破壊されません."
